,burglary,common assault,larceny,robbery - street,auto theft,agg. assault,larceny from auto,shooting,robbery - residence,robbery - commercial,arson,homicide,robbery - carjacking,rape
2014-01-01,3.0,19,34,8,9,22,15,2,1,2,,2.0,,4.0
2014-01-02,,23,26,4,7,6,10,0,1,1,,3.0,1.0,0.0
2014-01-03,,17,16,2,3,11,6,1,1,1,,1.0,0.0,0.0
2014-01-04,,23,23,7,14,14,15,0,1,1,,0.0,0.0,0.0
2014-01-05,,22,19,10,11,9,13,2,1,0,,0.0,2.0,1.0
2014-01-06,,23,37,6,5,3,11,0,1,0,2.0,2.0,0.0,1.0
2014-01-07,,12,32,2,11,3,11,0,0,1,0.0,0.0,0.0,2.0
2014-01-08,,26,23,6,12,9,12,1,1,0,0.0,1.0,1.0,0.0
2014-01-09,,20,46,9,5,11,9,1,3,1,0.0,1.0,0.0,0.0
2014-01-10,,27,33,11,9,9,24,0,0,1,0.0,3.0,2.0,0.0
2014-01-11,,19,18,7,14,12,16,0,2,3,0.0,1.0,0.0,1.0
2014-01-12,,29,17,4,8,13,11,2,2,2,0.0,2.0,0.0,1.0
2014-01-13,,29,20,10,15,12,15,1,0,0,1.0,0.0,0.0,0.0
2014-01-14,,18,39,12,11,9,19,1,1,0,1.0,0.0,0.0,1.0
2014-01-15,,32,34,7,10,4,15,0,7,0,2.0,0.0,0.0,0.0
2014-01-16,,17,37,9,13,9,22,0,3,3,2.0,0.0,0.0,0.0
2014-01-17,,19,34,8,13,4,30,1,2,0,0.0,1.0,1.0,2.0
2014-01-18,,9,32,5,5,13,16,1,2,0,4.0,1.0,0.0,2.0
2014-01-19,,15,23,2,12,16,20,2,1,0,0.0,0.0,0.0,0.0
2014-01-20,,21,30,4,15,8,25,2,1,1,0.0,0.0,0.0,2.0
2014-01-21,,7,15,3,12,5,10,1,2,5,0.0,0.0,0.0,0.0
2014-01-22,,12,27,8,15,11,17,1,0,2,0.0,0.0,0.0,2.0
2014-01-23,,16,21,5,3,5,20,2,7,3,1.0,0.0,0.0,0.0
2014-01-24,,15,33,8,11,8,15,0,7,3,1.0,0.0,1.0,0.0
2014-01-25,,20,25,3,12,9,18,0,1,1,0.0,2.0,0.0,1.0
2014-01-26,,21,18,1,20,3,19,0,0,2,2.0,0.0,1.0,0.0
2014-01-27,,24,35,13,14,8,16,1,0,0,0.0,1.0,0.0,0.0
2014-01-28,,20,20,6,7,6,8,1,3,2,0.0,1.0,1.0,1.0
2014-01-29,,15,22,7,12,9,9,1,1,3,0.0,0.0,0.0,0.0
2014-01-30,,21,38,9,11,11,21,2,4,3,0.0,4.0,0.0,1.0
2014-01-31,,24,28,7,11,17,20,2,2,1,1.0,1.0,0.0,0.0
2014-02-01,,16,42,7,14,7,14,0,1,2,0.0,0.0,0.0,1.0
2014-02-02,,30,25,10,9,12,9,0,0,5,0.0,0.0,0.0,0.0
2014-02-03,,21,27,10,4,12,13,1,1,7,0.0,0.0,0.0,1.0
2014-02-04,,19,27,11,9,8,15,0,0,1,1.0,0.0,0.0,0.0
2014-02-05,,13,27,5,10,5,20,1,0,0,0.0,0.0,0.0,1.0
2014-02-06,,17,33,8,6,6,10,0,1,0,1.0,1.0,0.0,1.0
2014-02-07,,19,28,8,17,8,13,2,1,2,2.0,0.0,0.0,0.0
2014-02-08,,20,27,5,13,12,13,1,0,2,1.0,0.0,0.0,0.0
2014-02-09,,15,16,3,9,11,10,0,0,0,0.0,1.0,2.0,0.0
2014-02-10,,14,25,9,15,8,9,0,1,1,1.0,1.0,0.0,1.0
2014-02-11,,17,29,3,10,10,13,0,0,2,0.0,2.0,0.0,0.0
2014-02-12,,12,28,3,10,6,18,0,1,3,0.0,0.0,0.0,0.0
2014-02-13,,10,11,3,9,8,0,0,2,0,1.0,0.0,0.0,1.0
2014-02-14,,10,21,9,4,11,6,0,2,0,1.0,0.0,1.0,0.0
2014-02-15,,25,19,7,5,9,20,0,2,2,0.0,0.0,0.0,1.0
2014-02-16,,12,19,5,15,4,9,0,0,1,0.0,0.0,2.0,0.0
2014-02-17,,16,27,3,14,4,11,0,0,0,0.0,0.0,1.0,1.0
2014-02-18,,19,18,6,3,10,19,0,0,1,0.0,0.0,0.0,1.0
2014-02-19,,19,25,6,7,11,14,0,1,0,0.0,0.0,0.0,1.0
2014-02-20,,19,32,8,8,9,15,1,3,2,0.0,0.0,1.0,1.0
2014-02-21,,26,34,9,15,14,20,0,0,2,1.0,1.0,0.0,0.0
2014-02-22,,22,41,2,4,11,17,0,0,2,0.0,0.0,0.0,0.0
2014-02-23,,17,26,3,4,9,15,1,1,2,1.0,1.0,0.0,0.0
2014-02-24,,22,28,6,8,9,10,0,3,1,0.0,1.0,0.0,0.0
2014-02-25,,29,24,7,11,12,17,0,0,1,0.0,1.0,0.0,0.0
2014-02-26,,22,15,8,9,15,12,2,2,1,0.0,0.0,0.0,0.0
2014-02-27,,25,22,12,4,5,15,0,3,0,0.0,0.0,0.0,1.0
2014-02-28,,22,33,6,10,10,20,0,1,0,0.0,0.0,0.0,2.0
2014-03-01,,22,29,7,11,15,12,2,3,0,0.0,1.0,1.0,3.0
2014-03-02,,29,16,0,4,12,12,1,1,4,0.0,0.0,0.0,0.0
2014-03-03,,11,10,2,5,9,10,0,1,0,0.0,0.0,0.0,0.0
2014-03-04,,23,22,4,10,16,9,0,0,0,0.0,0.0,0.0,0.0
2014-03-05,,20,24,6,9,7,14,0,0,2,1.0,0.0,0.0,0.0
2014-03-06,,22,24,6,9,13,16,0,2,1,0.0,0.0,0.0,0.0
2014-03-07,,22,39,5,10,8,12,0,0,2,0.0,1.0,1.0,0.0
2014-03-08,,19,25,6,9,13,17,0,0,0,0.0,1.0,1.0,1.0
2014-03-09,,14,14,6,9,14,11,1,4,1,0.0,0.0,0.0,1.0
2014-03-10,,25,38,3,9,13,15,1,0,2,0.0,0.0,0.0,2.0
2014-03-11,,27,27,4,9,9,8,0,1,2,0.0,0.0,1.0,0.0
2014-03-12,,15,22,8,4,17,8,1,0,0,0.0,0.0,0.0,1.0
2014-03-13,,22,31,2,10,7,10,0,4,0,0.0,0.0,0.0,1.0
2014-03-14,,32,38,9,9,18,14,2,3,3,0.0,1.0,0.0,2.0
2014-03-15,,27,52,5,10,18,23,1,1,0,0.0,0.0,2.0,1.0
2014-03-16,,20,23,5,5,10,15,1,2,0,0.0,0.0,0.0,0.0
2014-03-17,,16,16,4,7,9,12,1,1,1,0.0,0.0,0.0,3.0
2014-03-18,,26,23,3,8,11,17,0,1,1,0.0,0.0,0.0,0.0
2014-03-19,,14,29,6,10,14,6,0,1,1,0.0,0.0,0.0,0.0
2014-03-20,,16,20,2,5,19,18,0,3,1,0.0,0.0,0.0,1.0
2014-03-21,,28,21,2,9,9,17,0,0,0,0.0,0.0,1.0,1.0
2014-03-22,,18,15,2,12,18,30,0,2,0,1.0,0.0,1.0,1.0
2014-03-23,,16,24,5,6,15,28,0,1,1,1.0,0.0,0.0,3.0
2014-03-24,,36,32,6,10,11,12,1,1,3,0.0,0.0,0.0,0.0
2014-03-25,,18,34,3,10,12,15,2,0,3,0.0,1.0,0.0,1.0
2014-03-26,,17,25,2,7,12,22,0,0,1,0.0,0.0,0.0,1.0
2014-03-27,,26,38,10,11,20,10,1,0,3,1.0,1.0,1.0,1.0
2014-03-28,,23,27,4,14,10,23,2,0,3,1.0,0.0,1.0,1.0
2014-03-29,,19,21,4,11,7,13,0,1,1,0.0,0.0,1.0,1.0
2014-03-30,,19,26,2,12,9,12,0,0,2,1.0,0.0,2.0,0.0
2014-03-31,,30,47,10,9,10,13,4,0,1,0.0,1.0,0.0,2.0
2014-04-01,,21,41,4,8,16,12,1,0,0,0.0,0.0,0.0,2.0
2014-04-02,,19,46,3,9,11,11,0,0,0,0.0,0.0,0.0,2.0
2014-04-03,,20,30,7,8,14,21,0,0,0,1.0,1.0,0.0,0.0
2014-04-04,,29,37,8,12,14,19,0,0,0,0.0,1.0,0.0,0.0
2014-04-05,,22,28,6,11,15,18,1,3,1,0.0,0.0,0.0,1.0
2014-04-06,,26,24,4,12,13,9,1,1,0,1.0,1.0,0.0,1.0
2014-04-07,,24,32,4,11,9,15,0,0,0,1.0,0.0,1.0,1.0
2014-04-08,,25,29,5,13,8,14,0,1,1,1.0,1.0,0.0,2.0
2014-04-09,,25,42,6,8,11,16,1,0,5,0.0,0.0,0.0,0.0
2014-04-10,,20,29,5,11,9,24,1,0,0,0.0,0.0,1.0,1.0
2014-04-11,,18,34,5,10,14,14,0,0,0,1.0,0.0,0.0,0.0
2014-04-12,,27,38,6,7,9,14,0,0,1,0.0,0.0,0.0,0.0
2014-04-13,,33,24,7,17,19,12,3,1,0,2.0,0.0,1.0,1.0
2014-04-14,,19,43,9,10,13,19,1,2,1,1.0,1.0,1.0,1.0
2014-04-15,,13,39,1,8,12,11,0,0,1,0.0,1.0,3.0,0.0
2014-04-16,,15,29,8,12,15,12,0,0,0,1.0,1.0,0.0,1.0
2014-04-17,,21,34,6,9,13,27,1,1,2,0.0,1.0,0.0,0.0
2014-04-18,,21,34,4,10,13,14,1,2,3,0.0,1.0,1.0,0.0
2014-04-19,,25,33,8,5,17,13,1,0,1,4.0,0.0,0.0,0.0
2014-04-20,,28,31,5,4,19,15,2,1,0,1.0,0.0,0.0,1.0
