PassengerId,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,22.0,1,0,7.25,0,0,1,0,1,0,0,1
2,38.0,1,0,71.2833,1,0,0,1,0,1,0,0
3,26.0,0,0,7.925,0,0,1,1,0,0,0,1
4,35.0,1,0,53.1,1,0,0,1,0,0,0,1
5,35.0,0,0,8.05,0,0,1,0,1,0,0,1
6,29.69911764705882,0,0,8.4583,0,0,1,0,1,0,1,0
7,54.0,0,0,51.8625,1,0,0,0,1,0,0,1
8,2.0,3,1,21.075,0,0,1,0,1,0,0,1
9,27.0,0,2,11.1333,0,0,1,1,0,0,0,1
10,14.0,1,0,30.0708,0,1,0,1,0,1,0,0
11,4.0,1,1,16.7,0,0,1,1,0,0,0,1
12,58.0,0,0,26.55,1,0,0,1,0,0,0,1
13,20.0,0,0,8.05,0,0,1,0,1,0,0,1
14,39.0,1,5,31.275,0,0,1,0,1,0,0,1
15,14.0,0,0,7.8542,0,0,1,1,0,0,0,1
16,55.0,0,0,16.0,0,1,0,1,0,0,0,1
17,2.0,4,1,29.125,0,0,1,0,1,0,1,0
18,29.69911764705882,0,0,13.0,0,1,0,0,1,0,0,1
19,31.0,1,0,18.0,0,0,1,1,0,0,0,1
20,29.69911764705882,0,0,7.225,0,0,1,1,0,1,0,0
21,35.0,0,0,26.0,0,1,0,0,1,0,0,1
22,34.0,0,0,13.0,0,1,0,0,1,0,0,1
23,15.0,0,0,8.0292,0,0,1,1,0,0,1,0
24,28.0,0,0,35.5,1,0,0,0,1,0,0,1
25,8.0,3,1,21.075,0,0,1,1,0,0,0,1
26,38.0,1,5,31.3875,0,0,1,1,0,0,0,1
27,29.69911764705882,0,0,7.225,0,0,1,0,1,1,0,0
28,19.0,3,2,263.0,1,0,0,0,1,0,0,1
29,29.69911764705882,0,0,7.8792,0,0,1,1,0,0,1,0
30,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
31,40.0,0,0,27.7208,1,0,0,0,1,1,0,0
32,29.69911764705882,1,0,146.5208,1,0,0,1,0,1,0,0
33,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
34,66.0,0,0,10.5,0,1,0,0,1,0,0,1
35,28.0,1,0,82.1708,1,0,0,0,1,1,0,0
36,42.0,1,0,52.0,1,0,0,0,1,0,0,1
37,29.69911764705882,0,0,7.2292,0,0,1,0,1,1,0,0
38,21.0,0,0,8.05,0,0,1,0,1,0,0,1
39,18.0,2,0,18.0,0,0,1,1,0,0,0,1
40,14.0,1,0,11.2417,0,0,1,1,0,1,0,0
41,40.0,1,0,9.475,0,0,1,1,0,0,0,1
42,27.0,1,0,21.0,0,1,0,1,0,0,0,1
43,29.69911764705882,0,0,7.8958,0,0,1,0,1,1,0,0
44,3.0,1,2,41.5792,0,1,0,1,0,1,0,0
45,19.0,0,0,7.8792,0,0,1,1,0,0,1,0
46,29.69911764705882,0,0,8.05,0,0,1,0,1,0,0,1
47,29.69911764705882,1,0,15.5,0,0,1,0,1,0,1,0
48,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
49,29.69911764705882,2,0,21.6792,0,0,1,0,1,1,0,0
50,18.0,1,0,17.8,0,0,1,1,0,0,0,1
51,7.0,4,1,39.6875,0,0,1,0,1,0,0,1
52,21.0,0,0,7.8,0,0,1,0,1,0,0,1
53,49.0,1,0,76.7292,1,0,0,1,0,1,0,0
54,29.0,1,0,26.0,0,1,0,1,0,0,0,1
55,65.0,0,1,61.9792,1,0,0,0,1,1,0,0
56,29.69911764705882,0,0,35.5,1,0,0,0,1,0,0,1
57,21.0,0,0,10.5,0,1,0,1,0,0,0,1
58,28.5,0,0,7.2292,0,0,1,0,1,1,0,0
59,5.0,1,2,27.75,0,1,0,1,0,0,0,1
60,11.0,5,2,46.9,0,0,1,0,1,0,0,1
61,22.0,0,0,7.2292,0,0,1,0,1,1,0,0
62,38.0,0,0,80.0,1,0,0,1,0,0,0,1
63,45.0,1,0,83.475,1,0,0,0,1,0,0,1
64,4.0,3,2,27.9,0,0,1,0,1,0,0,1
65,29.69911764705882,0,0,27.7208,1,0,0,0,1,1,0,0
66,29.69911764705882,1,1,15.2458,0,0,1,0,1,1,0,0
67,29.0,0,0,10.5,0,1,0,1,0,0,0,1
68,19.0,0,0,8.1583,0,0,1,0,1,0,0,1
69,17.0,4,2,7.925,0,0,1,1,0,0,0,1
70,26.0,2,0,8.6625,0,0,1,0,1,0,0,1
71,32.0,0,0,10.5,0,1,0,0,1,0,0,1
72,16.0,5,2,46.9,0,0,1,1,0,0,0,1
73,21.0,0,0,73.5,0,1,0,0,1,0,0,1
74,26.0,1,0,14.4542,0,0,1,0,1,1,0,0
75,32.0,0,0,56.4958,0,0,1,0,1,0,0,1
76,25.0,0,0,7.65,0,0,1,0,1,0,0,1
77,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
78,29.69911764705882,0,0,8.05,0,0,1,0,1,0,0,1
79,0.83,0,2,29.0,0,1,0,0,1,0,0,1
80,30.0,0,0,12.475,0,0,1,1,0,0,0,1
81,22.0,0,0,9.0,0,0,1,0,1,0,0,1
82,29.0,0,0,9.5,0,0,1,0,1,0,0,1
83,29.69911764705882,0,0,7.7875,0,0,1,1,0,0,1,0
