PassengerId,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
1,22.0,1,0,7.25,0,0,1,0,1,0,0,1,0
2,38.0,1,0,71.2833,1,0,0,1,0,1,0,0,1
3,26.0,0,0,7.925,0,0,1,1,0,0,0,1,1
4,35.0,1,0,53.1,1,0,0,1,0,0,0,1,1
5,35.0,0,0,8.05,0,0,1,0,1,0,0,1,0
6,29.69911764705882,0,0,8.4583,0,0,1,0,1,0,1,0,0
7,54.0,0,0,51.8625,1,0,0,0,1,0,0,1,0
8,2.0,3,1,21.075,0,0,1,0,1,0,0,1,0
9,27.0,0,2,11.1333,0,0,1,1,0,0,0,1,1
10,14.0,1,0,30.0708,0,1,0,1,0,1,0,0,1
11,4.0,1,1,16.7,0,0,1,1,0,0,0,1,1
12,58.0,0,0,26.55,1,0,0,1,0,0,0,1,1
13,20.0,0,0,8.05,0,0,1,0,1,0,0,1,0
14,39.0,1,5,31.275,0,0,1,0,1,0,0,1,0
15,14.0,0,0,7.8542,0,0,1,1,0,0,0,1,0
16,55.0,0,0,16.0,0,1,0,1,0,0,0,1,1
17,2.0,4,1,29.125,0,0,1,0,1,0,1,0,0
18,29.69911764705882,0,0,13.0,0,1,0,0,1,0,0,1,1
19,31.0,1,0,18.0,0,0,1,1,0,0,0,1,0
20,29.69911764705882,0,0,7.225,0,0,1,1,0,1,0,0,1
21,35.0,0,0,26.0,0,1,0,0,1,0,0,1,0
22,34.0,0,0,13.0,0,1,0,0,1,0,0,1,1
23,15.0,0,0,8.0292,0,0,1,1,0,0,1,0,1
24,28.0,0,0,35.5,1,0,0,0,1,0,0,1,1
25,8.0,3,1,21.075,0,0,1,1,0,0,0,1,0
26,38.0,1,5,31.3875,0,0,1,1,0,0,0,1,1
27,29.69911764705882,0,0,7.225,0,0,1,0,1,1,0,0,0
28,19.0,3,2,263.0,1,0,0,0,1,0,0,1,0
29,29.69911764705882,0,0,7.8792,0,0,1,1,0,0,1,0,1
30,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1,0
31,40.0,0,0,27.7208,1,0,0,0,1,1,0,0,0
32,29.69911764705882,1,0,146.5208,1,0,0,1,0,1,0,0,1
33,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0,1
34,66.0,0,0,10.5,0,1,0,0,1,0,0,1,0
35,28.0,1,0,82.1708,1,0,0,0,1,1,0,0,0
36,42.0,1,0,52.0,1,0,0,0,1,0,0,1,0
37,29.69911764705882,0,0,7.2292,0,0,1,0,1,1,0,0,1
38,21.0,0,0,8.05,0,0,1,0,1,0,0,1,0
39,18.0,2,0,18.0,0,0,1,1,0,0,0,1,0
40,14.0,1,0,11.2417,0,0,1,1,0,1,0,0,1
